quote,author,tags,cleaned_quote,cleaned_author
"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”",John Green,[],saying notice youre nerd like saying hey notice youd rather intelligent stupid youd rather thoughtful vapid believe thing matter arrest record lindsay lohan fact seems contemporary insult pretty lame even lame kind lame saying youre lame like saying walk limp yeah whatever cent he done right,john green
"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,",[],people think soul mate perfect fit thats everyone want true soul mate mirror person show everything holding back person brings attention change life true soul mate probably important person youll ever meet tear wall smack awake live soul mate forever nah painful soul mate come life reveal another layer leave soul mate purpose shake tear apart ego little bit show obstacle addiction break heart open new light get make desperate control transform life introduce spiritual master,elizabeth gilbert
"“It matters not what someone is born, but what they grow to be.”","J.K. Rowling,",[],matter someone born grow,jk rowling
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,[],life like riding bicycle keep balance must keep moving,albert einstein
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,",[],nothing would really friend notion loving people half nature,jane austen
"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,",[],dont love someone theyre perfect love spite fact theyre,jodi picoult
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,[],people never go crazy truly horrible life must lead,charles bukowski
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils,[],difference genius stupidity genius limit,alexandre dumasfils
"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin,[],love never dy natural death dy dont know replenish source dy blindness error betrayal dy illness wound dy weariness withering tarnishings,anais nin
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","J.D. Salinger,",[],really knock book youre done reading wish author wrote terrific friend could call phone whenever felt like doesnt happen much though,jd salinger
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,[],make woman laugh make anything,marilyn monroe
"“Weâ€™re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdnessâ€”and call it loveâ€”true love.”","Robert Fulghum,",[],little weird life little weird find someone whose weirdness compatible join fall mutually satisfying weirdnessand call lovetrue love,robert fulghum
"“You donâ€™t have a soul, Doctor. You are a soul. You have a body, temporarily.”","Walter M. Miller Jr.,",[],dont soul doctor soul body temporarily,walter miller jr
"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,",[],would venture guess anon wrote many poem without signing often woman,virginia woolf
“Some infinities are bigger than other infinities.”,"John Green,",[],infinity bigger infinity,john green
“Do one thing every day that scares you.”,Eleanor Roosevelt,[],one thing every day scare,eleanor roosevelt
“It is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde,[],read dont determines cant help,oscar wilde
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","Terry Pratchett,",[],trouble open mind course people insist coming along trying put thing,terry pratchett
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,[],flower every time thought youi could walk garden forever,alfred tennyson
"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”","Cassandra Clare,",[],one must always careful book said tessa inside word power change u,cassandra clare
“Not all those who wander are lost.”,"J.R.R. Tolkien,",[],wander lost,jrr tolkien
“Time you enjoy wasting is not wasted time.”,"Marthe Troly-Curtin,",[],time enjoy wasting wasted time,marthe trolycurtin
“Reality continues to ruin my life.”,"Bill Watterson,",[],reality continues ruin life,bill watterson
“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,",[],thing change friend leave life doesnt stop anybody,stephen chbosky
"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","Cassandra Clare,",[],pretending jace said absolute clarity love love die life ill love,cassandra clare
“Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!”,Bob Marley,[],judge life livei know im perfectand dont live bebut start pointing fingersmake sure hand clean,bob marley
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,[],real lover man thrill kissing forehead smiling eye staring space,marilyn monroe
"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”",Toni Morrison,[],there book want read hasnt written yet must write,toni morrison
"“Piglet sidled up to Pooh from behind. ""Pooh!"" he whispered.""Yes, Piglet?""""Nothing,"" said Piglet, taking Pooh's paw. ""I just wanted to be sure of you.”","A.A. Milne,",[],piglet sidled pooh behind pooh whisperedyes pigletnothing said piglet taking poohs paw wanted sure,aa milne
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”","C.S. Lewis,",[],love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable,c lewis
“The only way out of the labyrinth of suffering is to forgive.”,"John Green,",[],way labyrinth suffering forgive,john green
"“He's like a drug for you, Bella.”","Stephenie Meyer,",[],he like drug bella,stephenie meyer
